id,category,level,question,option1,option2,option3,option4,answer,explanation
"ENV-E020","environment","easy","كيف نساهم كأفراد في تقليل هدر الطعام في المنازل؟","بشراء ما نحتاجه فقط وطبخ كميات مناسبة للأسرة","بشراء عروض ضخمة وتخزينها حتى تتلف","برمي بقايا الطعام الصالح في القمامة","بالامتناع عن تناول الخضراوات","بشراء ما نحتاجه فقط وطبخ كميات مناسبة للأسرة","هدر الطعام يعني هدراً للمياه والجهد والطاقة التي استُخدمت في زراعته ونقله."
"ENV-E021","environment","easy","ما هو الأثر السلبي لترك محرك السيارة يعمل أثناء الانتظار الطويل؟","زيادة تلوث الهواء المحلي وهدر الوقود بلا فائدة","تنشيط محرك السيارة ليصبح أسرع","تخفيض حرارة الجو المحيط","تقليل استهلاك زيت المحرك","زيادة تلوث الهواء المحلي وهدر الوقود بلا فائدة","إطفاء المحرك عند الانتظار لأكثر من دقيقة يقلل الانبعاثات الكربونية بشكل كبير."
"ENV-E022","environment","easy","أي وسيلة نقل تعتبر الأفضل بيئياً عند التنقل لمسافات قصيرة داخل الحي؟","المشي أو الدراجة الهوائية","السيارة الخاصة الكبيرة","سيارات الأجرة (التاكسي)","الدراجة النارية المزعجة","المشي أو الدراجة الهوائية","المشي والدراجات تحسن الصحة الجسدية وتضمن انبعاثات كربونية صفرية تماماً."
"ENV-E023","environment","easy","لماذا يُنصح بزراعة نباتات عطرية (كالنعناع والحبق) على شرفات المنازل؟","تلطف الجو، تعطي رائحة جميلة، وتُستخدم طازجة في الطعام","لأنها تحتاج مياهاً مالحة جداً","لأنها تمنع هطول الأمطار الحمضية","لأنها تنمو بدون ضوء شمس","تلطف الجو، تعطي رائحة جميلة، وتُستخدم طازجة في الطعام","الزراعة المنزلية البسيطة تزيد من المساحة الخضراء في المدن وتحسن الصحة النفسية."
"ENV-E024","environment","easy","ما هو التصرف البيئي السليم عند رؤية تسرب مياه كبير في شارع الحي؟","إبلاغ الجهات المختصة (البلدية أو طوارئ المياه) فوراً","تجاهل الأمر فهو مسؤولية الآخرين","وضع القمامة فوق الماء لإخفائه","محاولة الشرب منه","إبلاغ الجهات المختصة (البلدية أو طوارئ المياه) فوراً","المسؤولية المجتمعية تتطلب المبادرة بالتبليغ لوقف هدر ثروة مائية لا تقدر بثمن."
"ENV-E025","environment","easy","أي من هذه المواد يستغرق وقتاً أطول بكثير للتحلل في الطبيعة إذا رُمي عشوائياً؟","العبوات البلاستيكية","قشر الموز","الأوراق والصحف","الكرتون","العبوات البلاستيكية","البلاستيك قد يستغرق مئات السنين ليتحلل، ويتفتت لمايكرو-بلاستيك يلوث التربة."
"ENV-E026","environment","easy","كيف يمكن للمدارس أن تساهم في حماية البيئة بشكل مباشر وفعال؟","بتنظيم حملات توعية مستمرة وتخصيص حاويات لفرز النفايات","بطباعة آلاف الأوراق التوعوية ورميها","بمنع الطلاب من شرب الماء","بإلغاء حصص العلوم","بتنظيم حملات توعية مستمرة وتخصيص حاويات لفرز النفايات","المدرسة هي البيئة الأولى لغرس السلوكيات البيئية المستدامة كالفرز وإعادة التدوير."
"ENV-E027","environment","easy","ما هو الخطر الناتج عن التخلص من الزيوت المستعملة بسكبها في مجلى المطبخ (البلوعة)؟","تتصلب وتسبب انسداد شبكات الصرف وتلوث المياه بشدة","تنظف الأنابيب وتجعلها لامعة","تتحول إلى مياه شرب نقية","لا تشكل أي خطر على الإطلاق","تتصلب وتسبب انسداد شبكات الصرف وتلوث المياه بشدة","لتر واحد من الزيت يمكن أن يلوث آلاف الليترات من المياه ويُعطل محطات المعالجة."
"ENV-E028","environment","easy","لماذا تعتبر النوافذ الكبيرة مفيدة بيئياً في المنازل إذا وُجهت بشكل صحيح؟","تزيد من الإضاءة الطبيعية نهاراً وتوفر استهلاك الكهرباء","تمنع دخول الهواء النقي نهائياً","تزيد من وزن المبنى وتثبته","تمنع نمو النباتات الداخلية","تزيد من الإضاءة الطبيعية نهاراً وتوفر استهلاك الكهرباء","الاعتماد على ضوء الشمس (التصميم السلبي) يقلل فاتورة الطاقة ويرفع جودة السكن."
"ENV-E029","environment","easy","أي من هذه الطيور يعتبر صديقاً للبيئة الزراعية والمدنية لأنه يأكل الحشرات المزعجة؟","طائر السنونو (الخطاف)","الغراب الأسود","النسر الجارح","طائر النعام","طائر السنونو (الخطاف)","السنونو يتغذى على البعوض والحشرات الطائرة، ويعتبر مبيداً حشرياً طبيعياً بامتياز."
"ENV-E030","environment","easy","ما هو التصرف البيئي والأخلاقي الصحيح للتعامل مع الملابس القديمة التي لم نعد نحتاجها؟","التبرع بها أو إعادة تدويرها لاستخدامات أخرى (كمماسح)","رميها في حاوية القمامة العضوية","حرقها لتدفئة المنزل","دفنها في حديقة المنزل","التبرع بها أو إعادة تدويرها لاستخدامات أخرى (كمماسح)","صناعة النسيج تستهلك مياهاً هائلة، فإطالة عمر الملابس يقلل الضغط على البيئة."
"DEV-E016","development","easy","ماذا يعني مفهوم ""العمل الجماعي"" في تنمية وتطوير الحي؟","تكاتف جهود السكان لتحقيق هدف مشترك يحسن حياتهم","أن يعمل شخص واحد بينما يراقب الباقون","تأجيل كل الأعمال حتى تتدخل الحكومة","التنافس على من يهدم أكثر","تكاتف جهود السكان لتحقيق هدف مشترك يحسن حياتهم","العمل الجماعي يولد قوة ضخمة تنجز مشاريع تعجز الجهود الفردية عن تحقيقها."
"DEV-E017","development","easy","أي من هذه المبادرات تمثل ""تنمية ثقافية"" حقيقية في الحي؟","إنشاء مكتبة عامة صغيرة أو نادٍ للقراءة","فتح مقهى للألعاب الإلكترونية فقط","توزيع إعلانات تجارية للمطاعم","إغلاق المدارس للراحة","إنشاء مكتبة عامة صغيرة أو نادٍ للقراءة","التنمية الثقافية ترتقي بفكر الشباب وتوفر لهم بيئة آمنة لاكتساب المعرفة."
"DEV-E018","development","easy","لماذا يُعتبر الاهتمام بمرحلة ""الطفولة المبكرة"" استثماراً تنموياً شديد النجاح؟","لأنه يبني جيلاً سليماً جسدياً ونفسياً وعقلياً للمستقبل","لأنه يوفر المال في الوقت الحاضر","لأن الأطفال لا يتأثرون ببيئتهم","لأنه يمنع الأطفال من اللعب","لأنه يبني جيلاً سليماً جسدياً ونفسياً وعقلياً للمستقبل","السنوات الخمس الأولى تشكل دماغ الطفل ومستقبله، مما ينعكس إيجاباً على إنتاجية المجتمع لاحقاً."
"DEV-E019","development","easy","ما هو الأثر التنموي الفوري لتشجيع ""المشاريع الصغيرة"" في الحي (كالورش اليدوية)؟","توفير فرص عمل جديدة وتحريك العجلة الاقتصادية المحلية","زيادة استيراد البضائع الأجنبية","تفريغ الحي من سكانه","رفع نسبة البطالة","توفير فرص عمل جديدة وتحريك العجلة الاقتصادية المحلية","المشاريع الصغيرة هي عصب الاقتصاد المحلي، فهي توظف أبناء الحي وتبقي المال داخله."
"DEV-E020","development","easy","كيف يساهم ""ذوو الهمم (الاحتياجات الخاصة)"" في تنمية المجتمع إذا تم دمجهم وتأهيلهم؟","يتحولون إلى طاقات منتجة وفاعلة بدلاً من تهميشهم كعبء","لا يمكنهم المساهمة في أي عمل","يزيدون من استهلاك الموارد فقط","يحتاجون لمستشفيات طوال حياتهم","يتحولون إلى طاقات منتجة وفاعلة بدلاً من تهميشهم كعبء","الدمج المجتمعي يحفظ كرامة الإنسان ويستثمر قدراته مهما كانت، وهذا جوهر التنمية."
"DEV-E021","development","easy","ما المقصود بـ ""الوعي الصحي"" كأحد أهداف التنمية المستدامة؟","امتلاك الأفراد لمعلومات صحيحة لحماية أنفسهم من الأمراض السارية","شراء الأدوية بكميات كبيرة لتخزينها","الذهاب للمستشفى كل يوم دون سبب","تناول الوجبات السريعة يومياً","امتلاك الأفراد لمعلومات صحيحة لحماية أنفسهم من الأمراض السارية","الوقاية خير من العلاج؛ الوعي الصحي يقلل الأوبئة ويوفر تكاليف العلاج الباهظة."
"DEV-E022","development","easy","أي من التالي يُعد شكلاً من أشكال ""التنمية التكنولوجية"" الصحيحة في قطاع التعليم؟","تزويد المدارس بالحواسيب وتدريب الطلاب على برمجيات حديثة","السماح للطلاب باللعب على هواتفهم طوال الدرس","إلغاء الكتب المدرسية تماماً","منع الطلاب من استخدام الإنترنت","تزويد المدارس بالحواسيب وتدريب الطلاب على برمجيات حديثة","التكنولوجيا أداة لتعزيز المعرفة ومواكبة العصر، وليست مجرد وسيلة ترفيه."
"DEV-E023","development","easy","لماذا نعتبر مبادرات ""الرياضة للجميع"" جزءاً أساسياً من التنمية المجتمعية؟","لأنها تحسن الصحة العامة وتقلل من الأمراض وتكاليف العلاج الطبي","لأنها تضيع وقت الشباب","لأنها تزيد من العنف في الشوارع","لأنها حكر على الرياضيين المحترفين فقط","لأنها تحسن الصحة العامة وتقلل من الأمراض وتكاليف العلاج الطبي","المجتمع الرياضي هو مجتمع منتج، سليم البدن، ويتمتع بوعي وثقافة الروح الرياضية."
"DEV-E024","development","easy","ما هو الدور التنموي الأهم لـ ""المراكز الثقافية"" الموزعة في المحافظات؟","احتضان المواهب الشبابية وإقامة الندوات ونشر الوعي المعتدل","تأجير القاعات للأعراس فقط","تخزين الكتب القديمة دون قراءتها","توزيع الأموال على زوارها","احتضان المواهب الشبابية وإقامة الندوات ونشر الوعي المعتدل","المركز الثقافي هو حاضنة فكرية تحمي الشباب وتطور مهاراتهم الإبداعية والأدبية."
"DEV-E025","development","easy","أي تصرف يدل على وعي المواطن العميق بأهمية ""الممتلكات العامة""؟","المحافظة على الحديقة العامة ومقاعدها كأنها ملكية خاصة بمنزله","تخريب أعمدة الإنارة للتسلية","سرقة أزهار الزينة من الشوارع","كتابة الذكريات على جدران المدارس","المحافظة على الحديقة العامة ومقاعدها كأنها ملكية خاصة بمنزله","الممتلكات العامة دُفعت قيمتها من ضرائب المجتمع، وتخريبها هو سرقة لحق الجميع."
"DEV-E026","development","easy","ماذا يعني مصطلح ""محو الأمية"" في عصرنا الحالي؟","لا يقتصر على القراءة والكتابة، بل يشمل محو الأمية التكنولوجية والرقمية","معرفة القراءة فقط دون الكتابة","القدرة على شراء الكتب وتخزينها","تعلم لغة أجنبية دون اللغة الأم","لا يقتصر على القراءة والكتابة، بل يشمل محو الأمية التكنولوجية والرقمية","من لا يتقن أساسيات التكنولوجيا اليوم يعتبر ""أميّاً رقمياً"" معزولاً عن سوق العمل."
"DEV-E027","development","easy","كيف تساهم التوعية بـ ""ترشيد الاستهلاك"" في التنمية الاقتصادية للأسرة؟","توفر المال المهدور في الكماليات وتوجهه نحو احتياجات أكثر أهمية كالتعليم","تزيد من الديون المتراكمة","تمنع الأسرة من شراء الطعام كلياً","تجعل الأسرة أكثر إسرافاً","توفر المال المهدور في الكماليات وتوجهه نحو احتياجات أكثر أهمية كالتعليم","الترشيد هو الإدارة الذكية للموارد المتاحة لضمان استقرار الأسرة المالي."
"DEV-E028","development","easy","ما هو أثر تعزيز ""الأمان والسلامة"" في شوارع الحي على التنمية؟","يشجع الناس على الخروج والتفاعل وممارسة أعمالهم براحة وإنتاجية","يخيف السكان ويجعلهم يبقون في المنازل","يوقف الحركة التجارية تماماً","يمنع الأطفال من الذهاب للمدارس","يشجع الناس على الخروج والتفاعل وممارسة أعمالهم براحة وإنتاجية","الأمان هو الركيزة الأولى؛ فلا استثمار ولا عمل ولا تعليم ينجح في بيئة خائفة."
"DEV-E029","development","easy","لماذا تُعتبر مبادرات ""التدريب المهني"" للشباب خطوة تنموية بالغة الأهمية؟","تزودهم بحرف يدوية ومهنية تضمن لهم دخلاً مستقراً وتحميهم من الفقر","تضيع أوقاتهم دون شهادات جامعية","تزيد من أعداد العاطلين عن العمل","تُجبرهم على السفر للخارج","تزودهم بحرف يدوية ومهنية تضمن لهم دخلاً مستقراً وتحميهم من الفقر","سوق العمل يحتاج للحرفيين والمهنيين المهرة، والتدريب المهني هو أسرع طريق لتوظيفهم."
"DEV-E030","development","easy","ما معنى ""تكافؤ الفرص"" في سياق التنمية المجتمعية؟","إعطاء فرصة عادلة للجميع للتعلم والعمل دون تمييز بناءً على خلفيتهم","إعطاء الوظائف للأغنياء فقط","منع النساء من العمل في التجارة","نجاح الشخص المعتمد على الواسطة","إعطاء فرصة عادلة للجميع للتعلم والعمل دون تمييز بناءً على خلفيتهم","العدالة وتكافؤ الفرص يضمنان وضع الشخص المناسب في المكان المناسب، مما يرفع الكفاءة."
"INI-E016","initiative","easy","ما هي الميزة الأهم التي يجب أن تتوفر في قائد المبادرة التطوعية؟","القدرة على التواصل الإيجابي، تنظيم العمل، وتحفيز الفريق","التسلط وإصدار الأوامر الصارمة فقط","الغياب المستمر لترك الفريق يعتمد على نفسه","صرف أمواله الخاصة فقط","القدرة على التواصل الإيجابي، تنظيم العمل، وتحفيز الفريق","القائد الناجح هو المُلهم الذي يكتشف طاقات فريقه ويوجهها نحو الهدف بروح طيبة."
"INI-E017","initiative","easy","لماذا نحتاج لـجلسة ""العصف الذهني"" (Brainstorming) في بداية تخطيط المبادرة؟","لتوليد أكبر عدد ممكن من الأفكار الإبداعية قبل اختيار الأفضل منها","لمعاقبة من لا يمتلك فكرة","لإضاعة الوقت في النقاشات","لإلغاء المبادرة من الأساس","لتوليد أكبر عدد ممكن من الأفكار الإبداعية قبل اختيار الأفضل منها","العصف الذهني يسمح بحرية التفكير دون نقد، مما ينتج حلولاً مبتكرة للمشكلات."
"INI-E018","initiative","easy","ما هي الفائدة الحقيقية لاستخدام ""وسائل التواصل الاجتماعي"" لمبادرتك؟","نشر فكرة المبادرة بشفافية لجذب متطوعين وداعمين جدد","التنمر على مبادرات الأحياء المجاورة","نشر الشائعات والأخبار الكاذبة","إخفاء أسماء المتطوعين","نشر فكرة المبادرة بشفافية لجذب متطوعين وداعمين جدد","الإعلام الرقمي هو أداة قوية لتوسيع دائرة التأثير وكسب ثقة المجتمع المحلي."
"INI-E019","initiative","easy","ماذا نفعل كفريق إذا واجهنا مشكلة طارئة وغير متوقعة أثناء تنفيذ المبادرة الميدانية؟","نجتمع بسرعة لمناقشة المشكلة بهدوء وإيجاد حلول بديلة (خطة ب)","ننسحب فوراً ونلغي المبادرة","نلقي اللوم على قائد الفريق بصراخ","نتجاهل المشكلة ونكمل العمل كأن شيئاً لم يكن","نجتمع بسرعة لمناقشة المشكلة بهدوء وإيجاد حلول بديلة (خطة ب)","إدارة الأزمات والمرونة هما صفتان أساسيتان لنجاح أي فريق تطوعي ميداني."
"INI-E020","initiative","easy","لماذا من المهم جداً شكر المتطوعين وتكريمهم معنوياً بعد انتهاء المبادرة؟","تقديراً لجهودهم المجانية وتشجيعاً لهم على الاستمرار في العطاء","لإجبارهم على دفع التبرعات","لكي نطلب منهم استرداد المعدات","لإخبارهم بأن عملهم لم يكن جيداً","تقديراً لجهودهم المجانية وتشجيعاً لهم على الاستمرار في العطاء","المتطوع لا يتقاضى أجراً مادياً؛ فالتقدير المعنوي هو ""وقود"" العمل التطوعي."
"INI-E021","initiative","easy","في إدارة المبادرات، ما هو ""جدول المهام"" (Task Schedule)؟","قائمة واضحة توضح من سيفعل ماذا، ومتى ينتهي منها","ورقة فارغة نكتب عليها الخواطر","قائمة بأسماء المحلات التي تبيع الطعام للفريق","سجل الغياب والحضور فقط","قائمة واضحة توضح من سيفعل ماذا، ومتى ينتهي منها","توزيع المهام بوضوح يمنع الاتكالية ويضمن إنجاز العمل بالوقت المحدد."
"INI-E022","initiative","easy","أي من هذه الأفكار تمثل مبادرة تطوعية مدرسية بسيطة ومؤثرة؟","دهان المقاعد القديمة ورسم لوحات تعليمية هادفة على جدران الباحة","بيع الكتب المدرسية المستعملة بأسعار خيالية","الهروب من الحصص لتنظيف الشارع","كسر النوافذ لإدخال الهواء","دهان المقاعد القديمة ورسم لوحات تعليمية هادفة على جدران الباحة","التطوع يمكن أن يبدأ بأبسط الأدوات في المكان الذي نقضي فيه معظم وقتنا."
"INI-E023","initiative","easy","ما هو دور ""المتطوع الإعلامي"" في فريق المبادرة؟","توثيق الأنشطة بالصور والفيديو وكتابة محتوى لنشره للجمهور","تقديم الطعام والشراب للعمال","شراء مواد البناء والدهان","حراسة مقر المبادرة ليلاً","توثيق الأنشطة بالصور والفيديو وكتابة محتوى لنشره للجمهور","الإعلامي هو النافذة التي يرى منها المجتمع حجم الإنجاز وصدق النوايا."
"INI-E024","initiative","easy","كيف يجب أن يتعامل الفريق مع النقد السلبي (الهدام) من بعض الأشخاص السلبيين في الحي؟","نستمر بالتركيز على عملنا وأهدافنا الإيجابية ونتجاهل الإحباط المفتعل","ندخل في شجار يومي معهم","نصدقهم ونوقف المبادرة","ننتقم منهم بتشويه جدرانهم","نستمر بالتركيز على عملنا وأهدافنا الإيجابية ونتجاهل الإحباط المفتعل","العمل الناجح يثبت نفسه على الأرض، والرد الأفضل على المحبطين هو الإنجاز الملموس."
"INI-E025","initiative","easy","لماذا يجب تحديد ""الجمهور المستهدف"" بدقة قبل إطلاق المبادرة؟","لضمان أن جهود ووقت المبادرة تصل للأشخاص الذين يحتاجونها فعلاً","لمعرفة من سيدفع الضرائب","لكي نمنعهم من المشاركة","لإقصاء أهالي الحي المجاور","لضمان أن جهود ووقت المبادرة تصل للأشخاص الذين يحتاجونها فعلاً","مبادرة دعم تعليمي يجب أن تستهدف المتسربين دراسياً لتكون جهودها مثمرة وفي محلها."
"INI-E026","initiative","easy","ما هي أهمية وضع ""صندوق الاقتراحات"" في العمل التطوعي؟","توفير وسيلة آمنة لجمع أفكار وآراء المشاركين بصراحة لتحسين العمل","تخويف المتطوعين من الشكاوى","جمع الأموال سراً","تضييع الوقت في قراءة الأوراق","توفير وسيلة آمنة لجمع أفكار وآراء المشاركين بصراحة لتحسين العمل","الصندوق يعطي فرصة لمن يفضلون الكتابة على الكلام لتقديم أفكار تطويرية رائعة."
"INI-E027","initiative","easy","أي من التالي يُعتبر سلوكاً خاطئاً وغير احترافي في العمل التطوعي؟","الغياب المتكرر عن المهام والاجتماعات دون عذر مسبق أو تنسيق","المبادرة باقتراح حلول جديدة","مساعدة زميل متعب في إنجاز مهمته","الابتسامة والتعامل بلطف مع المستفيدين","الغياب المتكرر عن المهام والاجتماعات دون عذر مسبق أو تنسيق","التطوع ليس التزاماً مادياً ولكنه التزام أخلاقي؛ الغياب يربك خطة الفريق بأكمله."
"INI-E028","initiative","easy","كيف نضمن عدم نسيان أي أدوات هامة يوم تنفيذ المبادرة الميدانية؟","بإعداد ""قائمة تحقق"" (Checklist) ومراجعتها بدقة قبل التحرك","بالاعتماد على الذاكرة الشخصية فقط","بشراء أدوات جديدة كل يوم","بطلب الأدوات من المارة في الشارع","بإعداد ""قائمة تحقق"" (Checklist) ومراجعتها بدقة قبل التحرك","قائمة التحقق المكتوبة هي أداة إدارية بسيطة جداً لكنها تنقذ المبادرات من الفشل الميداني."
"INI-E029","initiative","easy","ما معنى أن تكون خطة المبادرة ""مرنة""؟","قدرتها على التكيف وتعديل الأنشطة فوراً إذا تغيرت الظروف (كالطقس)","أن تكون مكتوبة على ورق مرن قابل للطي","أن نسمح بتأجيل العمل لسنوات","أن لا نلتزم بأي هدف","قدرتها على التكيف وتعديل الأنشطة فوراً إذا تغيرت الظروف (كالطقس)","المرونة تعني ثبات ""الهدف"" مع إمكانية تغيير ""الوسيلة"" أو ""الجدول الزمني"" عند الضرورة."
"INI-E030","initiative","easy","لماذا نفضل استخدام ""المواد المُعاد تدويرها"" (كالعجلات والإطارات) في مبادرات تزيين الأحياء؟","لتقليل التكاليف المالية وتقديم رسالة بيئية توعوية مبتكرة بنفس الوقت","لأنها دائماً أجمل من المواد الجديدة","لأنها أثقل وزناً وتمنع السرقة","لأن القانون يجبرنا على ذلك","لتقليل التكاليف المالية وتقديم رسالة بيئية توعوية مبتكرة بنفس الوقت","تحويل إطار سيارة قديم إلى حوض زهور هو توفير للمال وإعادة إحياء للنفايات بلمسة فنية."
"DAM-E031","damascus","easy","ما هو المعلم البارز الذي يقع في حي الصالحية ويضم رفات المتصوف الشهير محي الدين ابن عربي؟","جامع الشيخ محي الدين","جامع بني أمية","التكية السليمانية","جامع درويش باشا","جامع الشيخ محي الدين","جامع الشيخ محي الدين بني في العهد العثماني تكريماً للعالم المتصوف ابن عربي."
"DAM-E032","damascus","easy","أي جسر في دمشق يُعد نقطة التقاء رئيسية للمواصلات ويربط بين منطقة البرامكة وساحة الأمويين؟","جسر الرئيس","جسر الثورة","جسر فيكتوريا","جسر الميدان","جسر الرئيس","جسر الرئيس حافظ الأسد يُعد العقدة المرورية الأهم لنقل الركاب في قلب دمشق."
"DAM-E033","damascus","easy","ما هو الاسم الذي يطلقه الدمشقيون على الحديقة الواسعة الممتدة بين ساحة الأمويين والربوة؟","حديقة تشرين","حديقة الجاحظ","حديقة السبكي","حديقة التجارة","حديقة تشرين","حديقة تشرين هي واحدة من أضخم وأجمل الحدائق العامة في دمشق وتستضيف معارض دورية كمعرض الزهور."
"DAM-E034","damascus","easy","أي من هذه الأبواب يقع في الجهة الجنوبية من سور دمشق القديمة ويجاور مقبرة تاريخية كبرى؟","باب الصغير","باب شرقي","باب توما","باب الفراديس","باب الصغير","باب الصغير سُمي بهذا الاسم لصغر حجمه قديماً، وتقع خارجه مقبرة الباب الصغير الشهيرة."
"DAM-E035","damascus","easy","ماذا تسمى أحواض المياه العامة المزخرفة التي كانت تُبنى في شوارع دمشق القديمة لسقاية المارة؟","السُّبُل (جمع سبيل)","النواعير","الطوالع","الآبار الارتوازية","السُّبُل (جمع سبيل)","سبيل الماء (مثل سبيل الخزنة) كان يُبنى كعمل خيري (وقف) لتوفير ماء الشرب النظيف للمارة."
"DAM-E036","damascus","easy","ما هو الشارع التاريخي الذي يخترق دمشق القديمة من الغرب إلى الشرق ويضم سوق مدحت باشا؟","الشارع المستقيم","شارع بغداد","شارع النصر","شارع الثورة","الشارع المستقيم","الشارع المستقيم ذُكر في الإنجيل، وهو المحور الرئيسي للتخطيط الروماني لمدينة دمشق."
"DAM-E037","damascus","easy","أي منطقة دمشقية تشتهر بكونها المدخل الغربي للمدينة وتعج بالمطاعم والمنتزهات على ضفاف بردى؟","الربوة","جوبر","القابون","برزة","الربوة","الربوة هي المتنفس التاريخي للدمشقيين، تتميز بمقاهيها المتناثرة بين مجرى نهر بردى والجبال."
"DAM-E038","damascus","easy","ما هي المنطقة التي تعتبر المركز التجاري الحديث في دمشق وتضم ساحة يوسف العظمة؟","منطقة المرجة والمحافظة","كفرسوسة","مشروع دمر","الدويلعة","منطقة المرجة والمحافظة","المرجة ومحيط مبنى المحافظة شكلا وسط دمشق الحديث منذ أواخر العهد العثماني وحتى اليوم."
"DAM-E039","damascus","easy","ما هي الوظيفة الأصلية الأساسية لمبنى ""التكية السليمانية"" في دمشق؟","إطعام الفقراء وإيواء عابري السبيل والحجاج","قصر للحاكم العثماني","سجن مركزي","مستشفى عسكري","إطعام الفقراء وإيواء عابري السبيل والحجاج","التكية السليمانية صُممت كـ ""مُجمّع خيري"" يضم مسجداً، غرفاً للضيوف، ومطعماً للفقراء والحجاج."
"DAM-E040","damascus","easy","ما هو الاسم الذي يُطلق على البيت الدمشقي التقليدي ذي الفسحة السماوية والنوافير؟","البيت العربي","البيت الحديث","الشقة السكنية","القبو الطابقي","البيت العربي","يُعرف البيت الدمشقي بـ ""البيت العربي"" لتميزه بالانفتاح على الداخل (أرض الديار) والانغلاق نحو الخارج."
"DAM-E041","damascus","easy","ما هو اسم السوق المتفرع من سوق المناخلية والمخصص لبيع المصنوعات النحاسية التقليدية بدمشق؟","سوق النحاسين","سوق الحرير","سوق الصاغة","سوق الهال","سوق النحاسين","سوق النحاسين يعج بأصوات طرق النحاس ويُعتبر معلماً للحرف اليدوية الدمشقية الأصيلة."
"DAM-E042","damascus","easy","ماذا تُسمى الغرفة المرتفعة والمفتوحة في البيت الدمشقي التي تُستخدم للجلوس واستقبال الضيوف صيفاً؟","الإيوان","المطبخ","القبو","المندلون","الإيوان","الإيوان هو قاعة مفتوحة باتجاه الشمال، ترتفع عن أرض الديار وتوفر هواءً عليلاً ومنظراً جميلاً صيفاً."
"DAM-E043","damascus","easy","أي منطقة بدمشق تضم ملعباً رياضياً دولياً كبيراً يُعرف باسمها؟","حي العباسيين","حي المزة","حي القدم","حي ركن الدين","حي العباسيين","ملعب العباسيين هو أحد أقدم وأشهر الملاعب الرياضية الدولية في العاصمة دمشق."
"DAM-E044","damascus","easy","ما هو فن الزخرفة الخشبية النافرة والمغلفة بعجينة خاصة تُزين قاعات البيوت الدمشقية الفاخرة؟","فن الخشب العجمي","فن الحفر بالليزر","فن التخريم البسيط","فن الأبلق الملون","فن الخشب العجمي","العجمي هو فن دمشقي عريق يعتمد على زخرفة الخشب بعجينة نباتية وتلوينها بماء الذهب والألوان الزاهية."
"DAM-E045","damascus","easy","أي من الأسواق التالية كان متخصصاً ببيع الأحذية والمصنوعات الجلدية في دمشق القديمة؟","سوق الخجا","سوق البزورية","سوق الصاغة","سوق الحرير","سوق الخجا","سوق الخجا القديم كان يقع بمحاذاة قلعة دمشق وكان المركز الأول للمصنوعات الجلدية والحقائب."
"ENV-E031","environment","easy","أي سلوك منزلي بسيط يساعد في تقليل هدر الكهرباء بشكل فوري ومباشر؟","إطفاء المصابيح والأجهزة عند مغادرة الغرفة","تشغيل المكيف على أبرد درجة دائماً","ترك التلفاز يعمل طوال الليل","فتح باب الثلاجة لفترات طويلة","إطفاء المصابيح والأجهزة عند مغادرة الغرفة","الترشيد يبدأ من العادات اليومية البسيطة التي توفر فاتورة الكهرباء وتقلل استهلاك الطاقة الوطنية."
"ENV-E032","environment","easy","كيف نساهم في حماية البيئة عند تسوق الخضار والفواكه يومياً؟","استخدام كيس قماشي واحد كبير بدلاً من عدة أكياس نايلون","شراء الخضار المغلفة بالبلاستيك المقوى فقط","طلب كيس بلاستيك منفصل لكل نوع خضار","رمي الأكياس في الشارع بعد تفريغها","استخدام كيس قماشي واحد كبير بدلاً من عدة أكياس نايلون","الكيس القماشي المتين يعيش لسنوات ويغني عن استهلاك مئات أكياس النايلون الضارة بالبيئة."
"ENV-E033","environment","easy","كيف يمكن الاستفادة بيئياً من مياه غسيل الخضار والفواكه الخالية من الصابون في المنزل؟","استخدامها لري النباتات المنزلية","شربها فوراً","غليها لصنع الشاي","سكبها في مجاري الشارع","استخدامها لري النباتات المنزلية","إعادة استخدام المياه النظيفة للزراعة يُعد من أرقى أشكال الترشيد المنزلي في ظل نقص المياه."
"ENV-E034","environment","easy","ما هي الفائدة البيئية الأبرز لاستخدام ""السخان الشمسي"" المائي على أسطح منازلنا؟","توفير الكهرباء والوقود وتقليل الانبعاثات الكربونية الضارة","تبريد مياه الشرب صيفاً","توليد الكهرباء لتشغيل المنزل كاملاً","زيادة استهلاك الغاز المنزلي","توفير الكهرباء والوقود وتقليل الانبعاثات الكربونية الضارة","السخان الشمسي يوفر مياهاً ساخنة مجانية ومستدامة بالاعتماد الكلي على حرارة الشمس."
"ENV-E035","environment","easy","أي نوع من النفايات المنزلية يمكن الاستفادة منه كغذاء لطيور أو حيوانات الشارع كقطط الحي؟","بقايا الطعام الصالحة ونثرات الخبز","العبوات الزجاجية المكسورة","البطاريات التالفة","الأكياس البلاستيكية","بقايا الطعام الصالحة ونثرات الخبز","عزل بقايا الطعام النظيفة وتقديمها للحيوانات يقلل من حجم القمامة العضوية المتعفنة في الحاويات."
"ENV-E036","environment","easy","ما هو الأثر السلبي المباشر لترك أكياس القمامة المنزلية مكشوفة في الشوارع خارج الحاوية؟","انتشار الحشرات والروائح الكريهة والأمراض المعدية","تلطيف هواء الحي","تجميل منظر الرصيف","زيادة نسبة الأكسجين","انتشار الحشرات والروائح الكريهة والأمراض المعدية","رمي القمامة خارج الحاوية يُعد تشويهاً بصرياً وخطراً صحياً مباشراً على سكان الحي والأطفال."
